Cuisine,Review.link,Name,Coordinates_y,Coordinates_x,foodRating,serviceRating,atmosphereRating,priceRating
Indian,"https://www.google.com/maps/place/Little+India+Restaurant/@43.6501721,-79.3889085,17z/data=!4m8!3m7!1s0x882b34cfd3af958b:0x9b662eb4989bbb2b!8m2!3d43.6501721!4d-79.3889085!9m1!1b1!16s%2Fg%2F1tsbmrny?entry=ttu",Little India Restaurant,43.6502,-79.3889,Positive,Positive,Positive,2
Indian,"https://www.google.com/maps/place/Roti+Mahal+Indian+Cuisine+-+Best+Roti+In+Town/@43.6475548,-79.4056956,17z/data=!4m8!3m7!1s0x882b35a85a434265:0x97fb9bc827857c76!8m2!3d43.6475509!4d-79.4031207!9m1!1b1!16s%2Fg%2F11j9ktzcv1?entry=ttu",Roti Mahal Indian Cuisine - Best Roti In Town,43.6476,-79.4057,Positive,Positive,Neutral,1
Indian,"https://www.google.com/maps/place/My+Roti+Place%2FMy+Dosa+Place/@43.6486982,-79.3999208,17z/data=!4m8!3m7!1s0x882b35925d483525:0xc8ade67542d5139c!8m2!3d43.6486943!4d-79.3973459!9m1!1b1!16s%2Fg%2F11gh8g1c1f?entry=ttu",My Roti Place / My Dosa Place,43.6487,-79.3999,Positive,Positive,Positive,1
Indian,"https://www.google.com/maps/place/Baazigar-+Indian+Restaurant/@43.6535821,-79.4039326,17z/data=!4m8!3m7!1s0x882b35601f66a6f7:0xe4408501736a048a!8m2!3d43.6535782!4d-79.4013577!9m1!1b1!16s%2Fg%2F11y24kqs7k?entry=ttu",Baazigar- Indian Restaurant,43.6536,-79.4039,Positive,Positive,Positive,2
Indian,"https://www.google.com/maps/place/Maezo+%7C+Indian+Cuisine/@43.6546524,-79.3927135,17z/data=!4m8!3m7!1s0x882b34cd18eeeee7:0xd510cc557615467a!8m2!3d43.6546485!4d-79.3901386!9m1!1b1!16s%2Fg%2F1pyqgq_x7?entry=ttu",Maezo  Indian Cuisine,43.6547,-79.3927,Positive,Positive,Negative,0
Indian,"https://www.google.com/maps/place/Aanch/@43.6448245,-79.3933741,17z/data=!3m1!5s0x882b34d750106bf1:0x21f6c00c7e20fc6f!4m8!3m7!1s0x882b34d74f122cd3:0xd1f3b9656e4b3de!8m2!3d43.6448206!4d-79.3907992!9m1!1b1!16s%2Fg%2F11fz26pj88?entry=ttu",Aanch,43.6448,-79.3934,Positive,Positive,Positive,1
Indian,"https://www.google.com/maps/place/Bombay+Palace+Downtown+Toronto/@43.6511113,-79.3745989,17z/data=!4m8!3m7!1s0x89d4cb311bf9b41d:0x4a63ddb39d4e45b!8m2!3d43.6511074!4d-79.372024!9m1!1b1!16s%2Fg%2F1tgwt7gc?entry=ttu",Bombay Palace Downtown Toronto,43.6511,-79.3746,Positive,Positive,Positive,0
Indian,"https://www.google.com/maps/place/Sams+Indian+Kitchen/@43.6622914,-79.3610249,17z/data=!4m8!3m7!1s0x89d4cb7019e4a713:0xe7f7ca07a551f0dd!8m2!3d43.6622875!4d-79.35845!9m1!1b1!16s%2Fg%2F11jvlzrj_g?entry=ttu",Sams Indian Kitchen,43.6623,-79.361,Positive,Positive,Neutral,0
Indian,"https://www.google.com/maps/place/Kothur+Indian+Cuisine/@43.6678928,-79.3882416,17z/data=!4m8!3m7!1s0x882b34b205ca48af:0xca7d7e204ce3205b!8m2!3d43.6678889!4d-79.3856667!9m1!1b1!16s%2Fg%2F1w34777_?entry=ttu",Kothur Indian Cuisine,43.6679,-79.3882,Positive,Positive,Neutral,0
Indian,"https://www.google.com/maps/place/Maja+Indian+Cuisine/@43.671806,-79.3812813,17z/data=!3m1!5s0x882ba748141a082b:0x8bf1a6152dd93957!4m8!3m7!1s0x89d4cb536dcda507:0x56f6037b94737ea6!8m2!3d43.6718021!4d-79.3787064!9m1!1b1!16s%2Fg%2F11bw44kmfw?entry=ttu",Maja Indian Cuisine,43.6718,-79.3813,Positive,Positive,Positive,2
Indian,"https://www.google.com/maps/place/Butter+Chicken+Factory/@43.6672629,-79.3719879,17z/data=!4m8!3m7!1s0x89d4cb50007dd733:0xda0e903fc2ec4f39!8m2!3d43.667259!4d-79.369413!9m1!1b1!16s%2Fg%2F1tfv_3ws?entry=ttu",Butter Chicken Factory,43.6673,-79.372,Positive,Positive,Positive,0
Indian,"https://www.google.com/maps/place/Matha+Roti+-+Indian+Cuisine/@43.6621111,-79.4088829,17z/data=!4m8!3m7!1s0x882b352980d3c20b:0xf05e999a13d5e203!8m2!3d43.6621072!4d-79.406308!9m1!1b1!16s%2Fg%2F11gxt8q8qb?entry=ttu",Matha Roti - Indian Cuisine,43.6621,-79.4089,Positive,Positive,Negative,0
Indian,"https://www.google.com/maps/place/T.O.%E2%80%99s+Kathi+Roll+Eatery+Toronto/@43.6483841,-79.4014374,17z/data=!3m1!5s0x882b34dc81be5b9d:0xe422ad1cc19473e7!4m12!1m2!2m1!1sindian+restaurant!3m8!1s0x882b35e91ed4d417:0xb669ce0402f3c330!8m2!3d43.6483841!4d-79.3973351!9m1!1b1!15sChFpbmRpYW4gcmVzdGF1cmFudFoTIhFpbmRpYW4gcmVzdGF1cmFudJIBEWluZGlhbl9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5TZVZsdGF6aFJSUkFC4AEA!16s%2Fg%2F11rk0sg3h0?entry=ttu",Kathi Roll Eatery Toronto,43.6484,-79.4014,Positive,Positive,Neutral,2
Indian,"https://www.google.com/maps/place/KHAZANA+Toronto+-+by+Chef+Sanjeev+Kapoor/@43.6552067,-79.3981156,15z/data=!4m12!1m2!2m1!1sindian+restaurant!3m8!1s0x89d4cb13d0c34ddf:0x280d127a0eb0c05!8m2!3d43.6552067!4d-79.3800906!9m1!1b1!15sChFpbmRpYW4gcmVzdGF1cmFudFoTIhFpbmRpYW4gcmVzdGF1cmFudJIBEWluZGlhbl9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU4wYTBwTFYyTm5FQUXgAQA!16s%2Fg%2F11rxwfrjwb?entry=ttu",KHAZANA Toronto - by Chef Sanjeev Kapoor,43.6552,-79.3981,Positive,Positive,Positive,2
Indian,"https://www.google.com/maps/place/Oh+Bombay+-+Downtown+Toronto/@43.6552067,-79.3981156,15z/data=!4m12!1m2!2m1!1sindian+restaurant!3m8!1s0x882b3551cc16a2ff:0xe337d21b574d5632!8m2!3d43.6617873!4d-79.3842365!9m1!1b1!15sChFpbmRpYW4gcmVzdGF1cmFudFoTIhFpbmRpYW4gcmVzdGF1cmFudJIBEWluZGlhbl9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5DT1hOTVowZDNFQUXgAQA!16s%2Fg%2F11tk2k5jz1?entry=ttu",Oh Bombay - Downtown Toronto,43.6552,-79.3981,Positive,Positive,Neutral,1
Indian,"https://www.google.com/maps/place/Masala+Guys/@43.6574635,-79.3939698,14z/data=!3m1!5s0x89d4cb4764d1e32b:0x560a89ecb99d830c!4m12!1m2!2m1!1sindian+restaurant!3m8!1s0x882b35a71ab969d3:0x6a3d412c76b6b161!8m2!3d43.6574646!4d-79.3653564!9m1!1b1!15sChFpbmRpYW4gcmVzdGF1cmFudFoTIhFpbmRpYW4gcmVzdGF1cmFudJIBEWluZGlhbl9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVEyYVZrM00zTm5SUkFC4AEA!16s%2Fg%2F11fqc70gjk?entry=ttu",Masala Guys,43.6575,-79.394,Positive,Positive,Positive,1
Pakistani,"https://www.google.com/maps/place/Nihari+Inn+Downtown+Toronto+Halal+Pakistani+Restaurant/@43.6444895,-79.4037686,17z/data=!3m1!5s0x89d4cb34e16868e3:0xe14d42bee1bdaa58!4m8!3m7!1s0x882b35596823abd9:0x981c9d067b10bb47!8m2!3d43.6444895!4d-79.4011937!9m1!1b1!16s%2Fg%2F11v0s8jxpj?entry=ttu",Nihari Inn Downtown Toronto Halal Pakistani Restaurant,43.6445,-79.4038,Neutral,Negative,Neutral,0
Pakistani,"https://www.google.com/maps/place/Chachu's/@43.6571988,-79.3809181,17z/data=!4m8!3m7!1s0x89d4cb320de350eb:0x45fdfdeeb6fb62df!8m2!3d43.6571988!4d-79.3783432!9m1!1b1!16s%2Fg%2F11t7z6hqt5?entry=ttu",Chachu's,43.6572,-79.3809,Positive,Positive,Positive,0
Pakistani,"https://www.google.com/maps/place/Sizzler+Kabab/@43.656276,-79.4016819,17z/data=!4m8!3m7!1s0x882b34c16fadf1ed:0x5861a14f8c4611ab!8m2!3d43.656276!4d-79.399107!9m1!1b1!16s%2Fg%2F1q5ccfwr2?entry=ttu",Sizzler Kabab,43.6563,-79.4017,Positive,Positive,Negative,0
Pakistani,"https://www.google.com/maps/place/Hyderabad+Express/@43.6574646,-79.3679313,17z/data=!3m1!5s0x89d4cb4764d1e32b:0x560a89ecb99d830c!4m8!3m7!1s0x89d4cb0d04daa097:0x34045bd78e571d66!8m2!3d43.6574646!4d-79.3653564!9m1!1b1!16s%2Fg%2F11tggp796n?entry=ttu",Hyderabad Express,43.6575,-79.3679,Positive,Positive,Positive,0
Pakistani,"https://www.google.com/maps/place/Karahi+Boys/@43.646351,-79.4095169,17z/data=!4m8!3m7!1s0x882b354c8d1e9477:0x2b1f4e65ca63de0a!8m2!3d43.646351!4d-79.4069366!9m1!1b1!16s%2Fg%2F11qpkygpn5?entry=ttu",Karahi Boys,43.6464,-79.4095,Positive,Positive,Positive,1
Portuguese,"https://www.google.com/maps/place/Amadeu's+Restaurant/@43.6539988,-79.404556,17z/data=!4m8!3m7!1s0x882b34c26f69bd83:0xeec90b93454eeb9e!8m2!3d43.6539988!4d-79.4019757!9m1!1b1!16s%2Fg%2F1tdzgmr0?entry=ttu",Amadeu's Restaurant,43.654,-79.4046,Positive,Positive,Positive,0
Portuguese,"https://www.google.com/maps/place/Adega+Restaurante/@43.6574337,-79.3858469,17z/data=!4m8!3m7!1s0x882b34ca5faee159:0x9767364296f32ad0!8m2!3d43.6574337!4d-79.3832666!9m1!1b1!16s%2Fm%2F052689l?entry=ttu",Adega Restaurante,43.6574,-79.3858,Positive,Positive,Positive,2
