id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,restaurant
ChZDSUhNMG9nS0VJQ0FnSUQ5eGRYY2ZBEAE,On of the most fiery and spicey vindaloos I’ve had. Not just heat but great flavor too.,a day ago,45:07.1,4,M Sherman,12,https://www.google.com/maps/contrib/115000257100377242639/reviews?hl=en,,Little India Restaurant
ChdDSUhNMG9nS0VJQ0FnSUQ5MGVuVHpBRRAB,,2 days ago,45:07.1,5,ishita paliwal,0,https://www.google.com/maps/contrib/103217281390930152195/reviews?hl=en,,Little India Restaurant
ChZDSUhNMG9nS0VJQ0FnSUQ5NHNXZGJnEAE,"I recently dined at Little Angel Restaurant with my friends and had a fantastic experience. The food was delicious, especially the sahi paneer that we tried !! , the ambiance was charming but the service was little slow. Pricing is moderate. Overall, I would recommend this place if you are looking to try Indian food.",6 days ago,45:07.1,4,Niruta Giri,0,https://www.google.com/maps/contrib/115516302050380612460/reviews?hl=en,,Little India Restaurant
ChdDSUhNMG9nS0VJQ0FnSUQ5ak9fbDFBRRAB,,6 days ago,45:07.1,5,Rene Canning,0,https://www.google.com/maps/contrib/115079541364190783068/reviews?hl=en,,Little India Restaurant
ChdDSUhNMG9nS0VJQ0FnSUQ5b09yZTB3RRAB,"Well, when my friend and I stepped in the restaurant, we are greeted with warm welcome. The menu offers a variety of dishes in a reasonable  price. We enjoyed the meal as well specially the Kdahi paneer. The staff member are too friendly. …",a week ago,45:07.1,4,avneet kaur,0,https://www.google.com/maps/contrib/114042778695799834268/reviews?hl=en,,Little India Restaurant
ChdDSUhNMG9nS0VJQ0FnSUM5bjRDa3F3RRAB,Had dinner after celebrating 190th Birthday of Toronto. Amazing food. Authentic Indian taste,a week ago,45:07.1,5,Rajkishora Nayak,301,https://www.google.com/maps/contrib/105077325294221749811/reviews?hl=en,,Little India Restaurant
ChdDSUhNMG9nS0VJQ0FnSUM5bzZLUXVBRRAB,,a week ago,45:07.1,1,Ishan Talati,0,https://www.google.com/maps/contrib/116383379394858987334/reviews?hl=en,,Little India Restaurant
ChZDSUhNMG9nS0VJQ0FnSUM5N0wtUWZBEAE,,2 weeks ago,45:07.1,5,Zi Ma,96,https://www.google.com/maps/contrib/112091895939747586938/reviews?hl=en,,Little India Restaurant
ChdDSUhNMG9nS0VJQ0FnSUM5N01DS29nRRAB,The food is very fresh and tasty.  The staff is cordial and fast.,2 weeks ago,45:07.2,4,Ulysses Grant,132,https://www.google.com/maps/contrib/113897712526230684180/reviews?hl=en,,Little India Restaurant
ChZDSUhNMG9nS0VJQ0FnSUM5MVB6NmFREAE,,2 weeks ago,45:07.2,4,saumya sood,17,https://www.google.com/maps/contrib/102907314597933544196/reviews?hl=en,,Little India Restaurant
ChZDSUhNMG9nS0VJQ0FnSURkczU2OVlnEAE,"yum food, good service",3 weeks ago,45:13.6,5,Ohcanadavibes,3,https://www.google.com/maps/contrib/113106332176953897079/reviews?hl=en,,Little India Restaurant
ChZDSUhNMG9nS0VJQ0FnSURkbnRyYmRnEAE,,3 weeks ago,45:13.6,3,Raj Kumar,13,https://www.google.com/maps/contrib/116243868907164182102/reviews?hl=en,,Little India Restaurant
ChZDSUhNMG9nS0VJQ0FnSURkanByS1RnEAE,Have ordered takeout from here for many years - never disappoints!,3 weeks ago,45:13.6,5,Mac Carson,0,https://www.google.com/maps/contrib/117659951215192709359/reviews?hl=en,,Little India Restaurant
ChZDSUhNMG9nS0VJQ0FnSURkMk9lNUt3EAE,Authentic and traditional Indian food that is so delicious. This is my favourite place for butter chicken in Toronto! I usually order sides of garlic naan and steamed basmati rice. The combo dinner for two is a great option if you're very …,a month ago,45:13.6,5,Janice T.,41,https://www.google.com/maps/contrib/115102986139584056701/reviews?hl=en,,Little India Restaurant
ChZDSUhNMG9nS0VJQ0FnSURkc01PSUFnEAE,Amazing customer service 😊! Very friendly and great vibed waiters. 🔥🔥 …,a month ago,45:13.6,5,Dysiree Romina,59,https://www.google.com/maps/contrib/111422415551636554189/reviews?hl=en,,Little India Restaurant
ChdDSUhNMG9nS0VJQ0FnSUNkbjhiVGlnRRAB,,a month ago,45:13.6,5,Jianni R. Miele,0,https://www.google.com/maps/contrib/111134705051327592750/reviews?hl=en,,Little India Restaurant
ChZDSUhNMG9nS0VJQ0FnSUNkazZ2WkpREAE,Watered down butter chicken. The deal for two on Ubereats is deceiving with the bbq items it’s one small dish with hard bad pieces mixed together not separate dishes. Disappointing!,a month ago,45:13.6,1,Ted L,6,https://www.google.com/maps/contrib/117224000400327800337/reviews?hl=en,,Little India Restaurant
ChdDSUhNMG9nS0VJQ0FnSUNkOGE2eTh3RRAB,"The menu offered a wide selection including many vegetarian options. The food itself was good but the garlic naan was definitely the star of the show! Great bread and a big portion too. The staff were also very friendly, offering free water …",a month ago,45:13.6,5,Lynn,61,https://www.google.com/maps/contrib/111761586944437440366/reviews?hl=en,,Little India Restaurant
ChZDSUhNMG9nS0VJQ0FnSUNkdUpIa1FnEAE,"Very good food, nice dining place. Garlic Nana is a must order food, highly recommended. …",a month ago,45:13.6,5,Tanyia,59,https://www.google.com/maps/contrib/109636884777623014366/reviews?hl=en,,Little India Restaurant
ChdDSUhNMG9nS0VJQ0FnSUR0dDZqNmt3RRAB,Undoubtedly one of the best Indian restaurants in the downtown. Food is amazing. Though service could be better. I’ve tried their: 1. Madras Chicken => Excellent and bit spicy …,a month ago,45:13.6,5,Neeraj Garg,58,https://www.google.com/maps/contrib/114453923438403871612/reviews?hl=en,,Little India Restaurant
ChZDSUhNMG9nS0VJQ0FnSUNka09HS0RREAE,The food is delicious and the employees are quite nice and always gives a good service,a month ago,45:20.1,5,Harsh Sharma,0,https://www.google.com/maps/contrib/113151722192872535417/reviews?hl=en,,Little India Restaurant
ChZDSUhNMG9nS0VJQ0FnSUR0OTdTUklREAE,,a month ago,45:20.1,5,Michael B,71,https://www.google.com/maps/contrib/112451777150355441979/reviews?hl=en,,Little India Restaurant
ChZDSUhNMG9nS0VJQ0FnSUR0MVlYWGNREAE,"Service and atmosphere is good but food taste is so bad.Also we Oder for vegetable tahali, they don’t even ask for which veggies you want",a month ago,45:20.1,1,meenakshi Ghangas,0,https://www.google.com/maps/contrib/108023524497285789656/reviews?hl=en,,Little India Restaurant
ChZDSUhNMG9nS0VJQ0FnSUR0eE11c1ZREAE,"Best Indian food in the city, hands down!",a month ago,45:20.1,5,Thusy Vijay,1,https://www.google.com/maps/contrib/106666325848326799063/reviews?hl=en,,Little India Restaurant
ChZDSUhNMG9nS0VJQ0FnSUN0NllQckp3EAE,The place is not halal I think but the vegetarian dishes are great. Good portion and fresh ingredients at a very reasonable price considering the location,a month ago,45:20.1,5,Rajib Mazhar Hasan,659,https://www.google.com/maps/contrib/118094408697740306291/reviews?hl=en,,Little India Restaurant
ChdDSUhNMG9nS0VJQ0FnSUN0b2JITmlRRRAB,Small place but the food was good.,a month ago,45:20.1,4,Sumit Gupta,0,https://www.google.com/maps/contrib/112623439235394248061/reviews?hl=en,,Little India Restaurant
ChdDSUhNMG9nS0VJQ0FnSUROOThENG9BRRAB,,a month ago,45:20.1,1,Amin Elahi,0,https://www.google.com/maps/contrib/104102058820191226278/reviews?hl=en,,Little India Restaurant
ChdDSUhNMG9nS0VJQ0FnSUROOTREVW9RRRAB,,a month ago,45:20.1,1,Hasan Rasooli,0,https://www.google.com/maps/contrib/103184481390208938362/reviews?hl=en,,Little India Restaurant
