id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUQxX2MtYWJREAE,,5 hours ago,52:10.5,4,Chris Margiella,0,https://www.google.com/maps/contrib/105163730671213861048/reviews?hl=en,
ChdDSUhNMG9nS0VJQ0FnSUQ5eGN5N2tBRRAB,,2 days ago,52:10.5,5,Alisha Goyette,4,https://www.google.com/maps/contrib/109617182835893575518/reviews?hl=en,
ChZDSUhNMG9nS0VJQ0FnSUQ5dWQ3M1pREAE,We ate very well A little expensive but considering the quality of the cuisine it's completely understandable …,3 days ago,52:10.5,4,Colicoli Runrun,0,https://www.google.com/maps/contrib/109359548961734080825/reviews?hl=en,
ChZDSUhNMG9nS0VJQ0FnSUQ5c2FtLUp3EAE,Amazing food. Can be slightly loud. Counter dining. …,3 days ago,52:10.5,5,Jay A,174,https://www.google.com/maps/contrib/109060088772679006697/reviews?hl=en,
ChdDSUhNMG9nS0VJQ0FnSUQ5d2ZyMjVnRRAB,,4 days ago,52:10.5,5,Miri Davidson,16,https://www.google.com/maps/contrib/101495005487431514472/reviews?hl=en,
ChdDSUhNMG9nS0VJQ0FnSUQ5N29PdGt3RRAB,Greek food is like Mediterranean food. You can feel just a little like Greek style. I recommend the Sea food menu.,4 days ago,52:10.5,3,WONHO KIM,45,https://www.google.com/maps/contrib/103901163561912058455/reviews?hl=en,
ChZDSUhNMG9nS0VJQ0FnSUQ5NnEycVBBEAE,"Our server Maggie was outstanding! She went over all the dishes in super detail and the ones she recommended was out of this world! Thank you for such a wonderful experience, we will be coming back for sure.",6 days ago,52:10.5,5,Dave T.,218,https://www.google.com/maps/contrib/110223679289653026481/reviews?hl=en,
ChdDSUhNMG9nS0VJQ0FnSUQ5NUtPOHhnRRAB,"Mamakas is a well known Greek restaurant in Toronto.  It is always jam packed all the time and make sure reservation is made ahead of time.   We ordered Spanakopita for appetizer, then Rack of lamb and whole fish for main courses and finish …",a week ago,52:10.5,4,Mandy Z,117,https://www.google.com/maps/contrib/115716688268252310555/reviews?hl=en,
ChdDSUhNMG9nS0VJQ0FnSUM5aTR5ODZRRRAB,"Amazing, authentic Greek food. The only Greek restaurant in Toronto that deserves the epithet ""Greek."" Matches the quality and flavours of classic Greek cuisine at home, while also introducing a gastronomic touch: true Greek culinary art. …",a week ago,52:10.5,5,Apostolos Zezos,0,https://www.google.com/maps/contrib/110223399846226891651/reviews?hl=en,
ChZDSUhNMG9nS0VJQ0FnSUMtNGF5aFNnEAE,Group of 4 just visit it again for lunch and the food we all great! Their Service was superb because they accommodate a friend with a newborn and made space for us. …,2 weeks ago,52:10.5,5,Jack Chang,197,https://www.google.com/maps/contrib/114249028780724883732/reviews?hl=en,
ChZDSUhNMG9nS0VJQ0FnSUM5LXJublB3EAE,Some of the BEST food I’ve had in Toronto! The plates are all shareable and everything was delicious,2 weeks ago,52:16.8,5,elissa christiaanse,13,https://www.google.com/maps/contrib/108576445569286407254/reviews?hl=en,
ChdDSUhNMG9nS0VJQ0FnSUM5N043Si1RRRAB,,2 weeks ago,52:16.8,5,Z,7,https://www.google.com/maps/contrib/103358028628436141682/reviews?hl=en,
ChZDSUhNMG9nS0VJQ0FnSUM5ck1YV0xnEAE,Was very excited to go here but left quite disappointed and not very happy. The server was pretty good however I bit into a giant bone in our Cod. The server let the kitchen know and told us she’s sorry but it happens however what bothered …,2 weeks ago,52:16.8,1,Ashwaria Noor Dana,2,https://www.google.com/maps/contrib/109961251365135304354/reviews?hl=en,
ChdDSUhNMG9nS0VJQ0FnSURkXzVYRG5nRRAB,,3 weeks ago,52:16.8,4,Ango,29,https://www.google.com/maps/contrib/116407112968745708114/reviews?hl=en,
ChZDSUhNMG9nS0VJQ0FnSURkM19mVENBEAE,"Been on a Sunday for brunch … was really good food, service and atmosphere. Bit pricey but welcome to Toronto.",3 weeks ago,52:16.8,5,Mohamed Zaki,83,https://www.google.com/maps/contrib/102604263824451220145/reviews?hl=en,
ChdDSUhNMG9nS0VJQ0FnSURkcl9iYjRBRRAB,,3 weeks ago,52:16.8,5,Mona Hashemi,2,https://www.google.com/maps/contrib/110996221811851359065/reviews?hl=en,
